Optimal solution:
Theta_1[fork4,cmpi1_plin] = 0.0
Theta_1[trunci0,cond_br0] = 0.0
Theta_1[cmpi1_plout,fork5] = 0.0
Theta_1[fork5,cond_br0] = 0.0
Theta_1[fork5,cond_br2] = 2.0
Theta_1[fork5,cond_br3] = 0.0
Theta_1[cond_br0,mux2_plin] = 0.0
Theta_1[cond_br0,sink0] = 0.0
Theta_1[cond_br2,mux1_plin] = 0.0
Theta_1[cond_br2,return1_plin] = 0.0
Theta_1[cond_br3,control_merge2] = 0.0
Theta_1[cond_br3,sink1] = 0.0
Theta_1[return1_plout,end0_plin] = 0.0
Theta_1[mc_load0_plin,mc_load0_plout] = 0.5
Theta_1[mc_load1_plin,mc_load1_plout] = 0.5
Theta_1[muli0_plin,muli0_plout] = 2.0
Theta_1[mux2_plin,mux2_plout] = 0.5
Theta_1[mux1_plin,mux1_plout] = 1.0
Theta_1[subi1_plin,subi1_plout] = 0.0
Theta_1[addi0_plin,addi0_plout] = 0.0
Theta_1[addi1_plin,addi1_plout] = 0.5
Theta_1[cmpi1_plin,cmpi1_plout] = 0.0
Theta_1[return1_plin,return1_plout] = 0.0
Theta_1[end0_plin,end0_plout] = 0.0
Theta_0[start_0,fork0] = -0.0
Theta_0[fork0,constant1] = -0.0
Theta_0[fork0,control_merge2] = -0.0
Theta_0[constant1,fork1] = -0.0
Theta_0[fork1,extsi4] = -0.0
Theta_0[fork1,extsi5] = 0.0
Theta_0[extsi4,mux2_plin] = -0.0
Theta_0[extsi5,mux1_plin] = -0.0
Theta_0[mux2_plout,fork2] = 0.0
Theta_0[fork2,extsi6] = 0.0
Theta_0[fork2,extsi7] = 0.0
Theta_0[fork2,extsi8] = 0.0
Theta_0[extsi6,addi1_plin] = 0.0
Theta_0[extsi7,subi1_plin] = 0.0
Theta_0[extsi8,mc_load0_plin] = 0.0
Theta_0[mux1_plout,addi0_plin] = 0.0
Theta_0[control_merge2,fork3] = 0.0
Theta_0[control_merge2,cond_br3] = 0.0
Theta_0[fork3,mux2_plin] = 0.0
Theta_0[fork3,mux1_plin] = 0.0
Theta_0[source0,constant4] = 0.0
Theta_0[constant4,extsi9] = 0.0
Theta_0[extsi9,subi1_plin] = -0.0
Theta_0[source1,constant8] = 0.0
Theta_0[constant8,extsi10] = 0.0
Theta_0[extsi10,cmpi1_plin] = -0.0
Theta_0[source2,constant9] = 0.0
Theta_0[constant9,extsi11] = 0.0
Theta_0[extsi11,addi1_plin] = -0.0
Theta_0[mc_load0_plout,muli0_plin] = -0.0
Theta_0[subi1_plout,extsi12] = 0.0
Theta_0[extsi12,mc_load1_plin] = 0.0
Theta_0[mc_load1_plout,muli0_plin] = -0.0
Theta_0[muli0_plout,addi0_plin] = -0.0
Theta_0[addi0_plout,cond_br2] = 0.0
Theta_0[addi1_plout,fork4] = 0.0
Theta_0[fork4,trunci0] = 0.0
Theta_0[fork4,cmpi1_plin] = 0.0
Theta_0[trunci0,cond_br0] = 0.0
Theta_0[cmpi1_plout,fork5] = 0.0
Theta_0[fork5,cond_br0] = 0.0
Theta_0[fork5,cond_br2] = 0.0
Theta_0[fork5,cond_br3] = 0.0
Theta_0[cond_br0,mux2_plin] = 0.0
Theta_0[cond_br0,sink0] = -0.0
Theta_0[cond_br2,mux1_plin] = 0.0
Theta_0[cond_br2,return1_plin] = 0.0
Theta_0[cond_br3,control_merge2] = 0.0
Theta_0[cond_br3,sink1] = -0.0
Theta_0[return1_plout,end0_plin] = 0.0
ru[start_0] = 0.0
ru[fork0] = 0.0
ru[constant1] = 0.0
ru[fork1] = 0.0
ru[extsi4] = 0.0
ru[extsi5] = 2.0
ru[mux2_plin] = 0.0
ru[mux2_plout] = 0.5
ru[fork2] = 0.5
ru[extsi6] = 0.5
ru[extsi7] = 0.5
ru[extsi8] = 0.5
ru[mux1_plin] = 2.0
ru[mux1_plout] = 3.0
ru[control_merge2] = 0.0
ru[fork3] = 0.0
ru[source0] = 0.5
ru[constant4] = 0.5
ru[extsi9] = 0.5
ru[source1] = 1.0
ru[constant8] = 1.0
ru[extsi10] = 1.0
ru[source2] = 0.5
ru[constant9] = 0.5
ru[extsi11] = 0.5
ru[mc_load0_plin] = 0.5
ru[mc_load0_plout] = 1.0
ru[subi1_plin] = 0.5
ru[subi1_plout] = 0.5
ru[extsi12] = 0.5
ru[mc_load1_plin] = 0.5
ru[mc_load1_plout] = 1.0
ru[muli0_plin] = 1.0
ru[muli0_plout] = 3.0
ru[addi0_plin] = 3.0
ru[addi0_plout] = 3.0
ru[addi1_plin] = 0.5
ru[addi1_plout] = 1.0
ru[fork4] = 1.0
ru[trunci0] = 1.0
ru[cmpi1_plin] = 1.0
ru[cmpi1_plout] = 1.0
ru[fork5] = 1.0
ru[cond_br0] = 1.0
ru[cond_br2] = 3.0
ru[cond_br3] = 1.0
ru[return1_plin] = 3.0
ru[return1_plout] = 3.0
ru[end0_plin] = 3.0
ru[end0_plout] = 3.0
ru[sink0] = 1.0
ru[sink1] = 1.0
Tin[start_0,fork0] = 0.0
Tin[fork0,constant1] = 0.0
Tin[fork0,control_merge2] = 0.0
Tin[constant1,fork1] = 4.0
Tin[fork1,extsi4] = 4.0
Tin[fork1,extsi5] = 4.0
Tin[extsi4,mux2_plin] = 4.0
Tin[extsi5,mux1_plin] = 4.0
Tin[mux2_plout,fork2] = 0.35299999999998466
Tin[fork2,extsi6] = 0.35299999999995757
Tin[fork2,extsi7] = 0.35299999999995757
Tin[fork2,extsi8] = 0.35299999999995757
Tin[extsi6,addi1_plin] = 0.35299999999995124
Tin[extsi7,subi1_plin] = 0.35299999999995396
Tin[extsi8,mc_load0_plin] = 2.588
Tin[mux1_plout,addi0_plin] = 0.3529999999999971
Tin[control_merge2,fork3] = 3.1844999999997885
Tin[control_merge2,cond_br3] = 3.1844999999997885
Tin[fork3,mux2_plin] = 3.6470000000000047
Tin[fork3,mux1_plin] = 3.6470000000000047
Tin[source0,constant4] = 0.0
Tin[constant4,extsi9] = 0.0
Tin[extsi9,subi1_plin] = 0.0
Tin[source1,constant8] = 0.0
