Optimal solution:
Theta_1[fork3,mux1_plin] = 1.6666666666666667
Theta_1[source0,constant4] = 0.0
Theta_1[constant4,extsi9] = 0.0
Theta_1[extsi9,subi1_plin] = 0.0
Theta_1[source1,constant8] = 0.0
Theta_1[constant8,extsi10] = 0.0
Theta_1[extsi10,cmpi1_plin] = 0.0
Theta_1[source2,constant9] = 0.0
Theta_1[constant9,extsi11] = 0.0
Theta_1[extsi11,addi1_plin] = 0.0
Theta_1[mc_load0_plout,muli0_plin] = 0.0
Theta_1[subi1_plout,extsi12] = 0.0
Theta_1[extsi12,mc_load1_plin] = 0.0
Theta_1[mc_load1_plout,muli0_plin] = 0.0
Theta_1[muli0_plout,addi0_plin] = 0.0
Theta_1[addi0_plout,cond_br2] = 0.0
Theta_1[addi1_plout,fork4] = 0.0
Theta_1[fork4,trunci0] = 0.3333333333333333
Theta_1[fork4,cmpi1_plin] = 0.0
Theta_1[trunci0,cond_br0] = 0.0
Theta_1[cmpi1_plout,fork5] = 0.0
Theta_1[fork5,cond_br0] = 0.0
Theta_1[fork5,cond_br2] = 1.6666666666666667
Theta_1[fork5,cond_br3] = 0.0
Theta_1[cond_br0,mux2_plin] = 0.0
Theta_1[cond_br0,sink0] = 0.0
Theta_1[cond_br2,mux1_plin] = 0.0
Theta_1[cond_br2,return1_plin] = 0.0
Theta_1[cond_br3,control_merge2] = 0.0
Theta_1[cond_br3,sink1] = 0.0
Theta_1[return1_plout,end0_plin] = 0.0
Theta_1[mc_load0_plin,mc_load0_plout] = 0.6666666666666666
Theta_1[mc_load1_plin,mc_load1_plout] = 0.3333333333333333
Theta_1[muli0_plin,muli0_plout] = 1.3333333333333333
Theta_1[mux2_plin,mux2_plout] = 0.3333333333333333
Theta_1[mux1_plin,mux1_plout] = 0.6666666666666666
Theta_1[subi1_plin,subi1_plout] = 0.3333333333333333
Theta_1[addi0_plin,addi0_plout] = 0.3333333333333333
Theta_1[addi1_plin,addi1_plout] = 0.3333333333333333
Theta_1[cmpi1_plin,cmpi1_plout] = 0.3333333333333333
Theta_1[return1_plin,return1_plout] = 0.0
Theta_1[end0_plin,end0_plout] = 0.0
Theta_0[start_0,fork0] = 0.0
Theta_0[fork0,constant1] = 0.0
Theta_0[fork0,control_merge2] = 0.0
Theta_0[constant1,fork1] = 0.0
Theta_0[fork1,extsi4] = 0.0
Theta_0[fork1,extsi5] = 0.3333333333333333
Theta_0[extsi4,mux2_plin] = 0.0
Theta_0[extsi5,mux1_plin] = 0.0
Theta_0[mux2_plout,fork2] = 0.0
Theta_0[fork2,extsi6] = 0.0
Theta_0[fork2,extsi7] = 0.0
Theta_0[fork2,extsi8] = 0.0
Theta_0[extsi6,addi1_plin] = 0.0
Theta_0[extsi7,subi1_plin] = 0.0
Theta_0[extsi8,mc_load0_plin] = 0.0
Theta_0[mux1_plout,addi0_plin] = 0.0
Theta_0[control_merge2,fork3] = 0.0
Theta_0[control_merge2,cond_br3] = 0.0
Theta_0[fork3,mux2_plin] = 0.0
Theta_0[fork3,mux1_plin] = 0.3333333333333333
Theta_0[source0,constant4] = 0.0
Theta_0[constant4,extsi9] = 0.0
Theta_0[extsi9,subi1_plin] = 0.0
Theta_0[source1,constant8] = 0.0
Theta_0[constant8,extsi10] = 0.0
Theta_0[extsi10,cmpi1_plin] = 0.0
Theta_0[source2,constant9] = 0.0
Theta_0[constant9,extsi11] = 0.0
Theta_0[extsi11,addi1_plin] = 0.0
Theta_0[mc_load0_plout,muli0_plin] = 0.0
Theta_0[subi1_plout,extsi12] = 0.0
Theta_0[extsi12,mc_load1_plin] = 0.0
Theta_0[mc_load1_plout,muli0_plin] = 0.0
Theta_0[muli0_plout,addi0_plin] = 0.0
Theta_0[addi0_plout,cond_br2] = 0.0
Theta_0[addi1_plout,fork4] = 0.0
Theta_0[fork4,trunci0] = 0.6666666666666666
Theta_0[fork4,cmpi1_plin] = 0.0
Theta_0[trunci0,cond_br0] = 0.0
Theta_0[cmpi1_plout,fork5] = 0.0
Theta_0[fork5,cond_br0] = 0.0
Theta_0[fork5,cond_br2] = 0.3333333333333333
Theta_0[fork5,cond_br3] = 0.0
Theta_0[cond_br0,mux2_plin] = 0.0
Theta_0[cond_br0,sink0] = 0.0
Theta_0[cond_br2,mux1_plin] = 0.0
Theta_0[cond_br2,return1_plin] = 0.0
Theta_0[cond_br3,control_merge2] = 0.0
Theta_0[cond_br3,sink1] = 0.0
Theta_0[return1_plout,end0_plin] = 0.0
ru[start_0] = 0.0
ru[fork0] = 0.0
ru[constant1] = 0.0
ru[fork1] = 0.0
ru[extsi4] = 0.0
ru[extsi5] = 1.6666666666666667
ru[mux2_plin] = 0.0
ru[mux2_plout] = 0.3333333333333333
ru[fork2] = 0.3333333333333333
ru[extsi6] = 0.3333333333333333
ru[extsi7] = 0.3333333333333333
ru[extsi8] = 0.3333333333333333
ru[mux1_plin] = 1.6666666666666667
ru[mux1_plout] = 2.3333333333333335
ru[control_merge2] = 0.0
ru[fork3] = 0.0
ru[source0] = 0.3333333333333333
ru[constant4] = 0.3333333333333333
ru[extsi9] = 0.3333333333333333
ru[source1] = 0.6666666666666666
ru[constant8] = 0.6666666666666666
ru[extsi10] = 0.6666666666666666
ru[source2] = 0.3333333333333333
ru[constant9] = 0.3333333333333333
ru[extsi11] = 0.3333333333333333
ru[mc_load0_plin] = 0.3333333333333333
ru[mc_load0_plout] = 1.0
ru[subi1_plin] = 0.3333333333333333
ru[subi1_plout] = 0.6666666666666666
ru[extsi12] = 0.6666666666666666
ru[mc_load1_plin] = 0.6666666666666666
ru[mc_load1_plout] = 1.0
ru[muli0_plin] = 1.0
ru[muli0_plout] = 2.3333333333333335
ru[addi0_plin] = 2.3333333333333335
ru[addi0_plout] = 2.6666666666666665
ru[addi1_plin] = 0.3333333333333333
ru[addi1_plout] = 0.6666666666666666
ru[fork4] = 0.6666666666666666
ru[trunci0] = 1.0
ru[cmpi1_plin] = 0.6666666666666666
ru[cmpi1_plout] = 1.0
ru[fork5] = 1.0
ru[cond_br0] = 1.0
ru[cond_br2] = 2.6666666666666665
ru[cond_br3] = 1.0
ru[return1_plin] = 2.6666666666666665
ru[return1_plout] = 2.6666666666666665
ru[end0_plin] = 2.6666666666666665
ru[end0_plout] = 2.6666666666666665
ru[sink0] = 1.0
ru[sink1] = 1.0
Tin[start_0,fork0] = 0.0
Tin[fork0,constant1] = 0.0
Tin[fork0,control_merge2] = 0.0
Tin[constant1,fork1] = 2.0
Tin[fork1,extsi4] = 2.0
Tin[fork1,extsi5] = 2.0
Tin[extsi4,mux2_plin] = 2.0
Tin[extsi5,mux1_plin] = 2.0
Tin[mux2_plout,fork2] = 0.3529999999999951
Tin[fork2,extsi6] = 0.352999999999994
Tin[fork2,extsi7] = 0.352999999999994
Tin[fork2,extsi8] = 0.352999999999994
Tin[extsi6,addi1_plin] = 0.3529999999999929
Tin[extsi7,subi1_plin] = 0.3529999999999929
Tin[extsi8,mc_load0_plin] = 0.5880000000000001
Tin[mux1_plout,addi0_plin] = 0.35299999999999887
Tin[control_merge2,fork3] = 0.45199999999998686
Tin[control_merge2,cond_br3] = 0.45199999999998686
Tin[fork3,mux2_plin] = 1.6470000000000053
Tin[fork3,mux1_plin] = 1.6470000000000053
Tin[source0,constant4] = 0.0
Tin[constant4,extsi9] = 0.0
Tin[extsi9,subi1_plin] = 0.0
Tin[source1,constant8] = 0.0
Tin[constant8,extsi10] = 0.0
Tin[extsi10,cmpi1_plin] = 0.0
Tin[source2,constant9] = 0.0
Tin[constant9,extsi11] = 0.0
Tin[extsi11,addi1_plin] = 0.0
Tin[mc_load0_plout,muli0_plin] = 1.412
Tin[subi1_plout,extsi12] = 0.5880000000000012
Tin[extsi12,mc_load1_plin] = 0.5880000000000001
Tin[mc_load1_plout,muli0_plin] = 1.412
Tin[muli0_plout,addi0_plin] = 0.0
Tin[addi0_plout,cond_br2] = 0.5717499999999989
Tin[addi1_plout,fork4] = 0.511749999999999
Tin[fork4,trunci0] = 0.511749999999997
Tin[fork4,cmpi1_plin] = 0.511749999999997
Tin[trunci0,cond_br0] = 0.0
Tin[cmpi1_plout,fork5] = 0.4519999999999986
Tin[fork5,cond_br0] = 0.4519999999999931
Tin[fork5,cond_br2] = 0.4519999999999931
Tin[fork5,cond_br3] = 0.4519999999999931
Tin[cond_br0,mux2_plin] = 0.45199999999998997
Tin[cond_br0,sink0] = 2.0
Tin[cond_br2,mux1_plin] = 0.5717499999999969
Tin[cond_br2,return1_plin] = 2.0
Tin[cond_br3,control_merge2] = 0.45199999999998997
Tin[cond_br3,sink1] = 2.0
Tin[return1_plout,end0_plin] = 1.412
Tin[mc_load0_plin,mc_load0_plout] = 2.0
Tin[mc_load1_plin,mc_load1_plout] = 2.0
Tin[muli0_plin,muli0_plout] = 2.0
Tin[mux2_plin,mux2_plout] = 2.0
Tin[mux1_plin,mux1_plout] = 2.0
Tin[subi1_plin,subi1_plout] = 2.0
Tin[addi0_plin,addi0_plout] = 2.0
Tin[addi1_plin,addi1_plout] = 2.0
Tin[cmpi1_plin,cmpi1_plout] = 2.0
Tin[return1_plin,return1_plout] = 0.706
Tin[end0_plin,end0_plout] = 0.6985
Tout[start_0,fork0] = 0.0
Tout[fork0,constant1] = 0.0
Tout[fork0,control_merge2] = 0.0
Tout[constant1,fork1] = 0.0
Tout[fork1,extsi4] = 0.0
Tout[fork1,extsi5] = 0.0
Tout[extsi4,mux2_plin] = 1.647
Tout[extsi5,mux1_plin] = 1.647
Tout[mux2_plout,fork2] = 0.352999999999994
Tout[fork2,extsi6] = 0.3529999999999929
Tout[fork2,extsi7] = 0.3529999999999929
Tout[fork2,extsi8] = 0.5880000000000001
Tout[extsi6,addi1_plin] = 1.488250000000001
Tout[extsi7,subi1_plin] = 1.488250000000001
Tout[extsi8,mc_load0_plin] = 0.5880000000000001
Tout[mux1_plout,addi0_plin] = 0.3529999999999973
Tout[control_merge2,fork3] = 1.6470000000000053
Tout[control_merge2,cond_br3] = 0.45199999999998997
Tout[fork3,mux2_plin] = 1.647000000000005
Tout[fork3,mux1_plin] = 1.6470000000000014
Tout[source0,constant4] = 0.0
Tout[constant4,extsi9] = 0.0
Tout[extsi9,subi1_plin] = 1.4882499999999999
Tout[source1,constant8] = 0.0
Tout[constant8,extsi10] = 0.0
Tout[extsi10,cmpi1_plin] = 1.548
Tout[source2,constant9] = 0.0
Tout[constant9,extsi11] = 0.0
Tout[extsi11,addi1_plin] = 1.4882499999999999
Tout[mc_load0_plout,muli0_plin] = 2.0
Tout[subi1_plout,extsi12] = 0.5880000000000001
Tout[extsi12,mc_load1_plin] = 0.5880000000000001
Tout[mc_load1_plout,muli0_plin] = 2.0
Tout[muli0_plout,addi0_plin] = 1.42825
Tout[addi0_plout,cond_br2] = 0.5717499999999969
Tout[addi1_plout,fork4] = 0.511749999999997
Tout[fork4,trunci0] = 0.0
Tout[fork4,cmpi1_plin] = 1.548000000000002
Tout[trunci0,cond_br0] = 0.45199999999998997
Tout[cmpi1_plout,fork5] = 0.4519999999999931
Tout[fork5,cond_br0] = 0.45199999999998997
Tout[fork5,cond_br2] = 0.5717499999999969
Tout[fork5,cond_br3] = 0.45199999999998997
Tout[cond_br0,mux2_plin] = 1.647000000000005
Tout[cond_br0,sink0] = 0.0
Tout[cond_br2,mux1_plin] = 1.6470000000000016
Tout[cond_br2,return1_plin] = 0.0
Tout[cond_br3,control_merge2] = 0.45199999999998686
Tout[cond_br3,sink1] = 0.0
Tout[return1_plout,end0_plin] = 0.0
Tout[mc_load0_plin,mc_load0_plout] = 0.0
Tout[mc_load1_plin,mc_load1_plout] = 0.0
Tout[muli0_plin,muli0_plout] = 0.0
Tout[mux2_plin,mux2_plout] = 0.0
Tout[mux1_plin,mux1_plout] = 0.0
Tout[subi1_plin,subi1_plout] = 0.0
Tout[addi0_plin,addi0_plout] = 0.0
Tout[addi1_plin,addi1_plout] = 0.0
Tout[cmpi1_plin,cmpi1_plout] = 0.0
Tout[return1_plin,return1_plout] = 0.706
Tout[end0_plin,end0_plout] = 1.0
Objective value: 0.3331933333333333
